threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,210.206.24.238
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.70.28.141
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,143.59.219.216
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,60.169.66.113
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,171.15.17.188
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,73.105.95.129
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,67.206.121.228
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,119.41.208.151
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,66.96.204.17
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,185.173.44.162
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.187.147.13
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,181.105.229.218
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,78.94.63.214
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,202.29.221.214
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.143.115.35
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,175.213.3.29
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,96.87.192.126
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,73.112.235.147
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,110.157.26.106
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,121.8.180.219
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.39.206.23
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,183.247.194.8
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,85.237.55.203
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,71.41.147.118
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,223.82.91.196
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,106.12.48.161
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,63.41.18.103
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,121.179.170.92
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,179.185.3.141
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,218.22.187.66
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,23.91.86.174
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,116.59.25.242
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,142.255.119.197
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.143.55.234
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,61.19.228.102
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,36.134.205.237
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.175.8.200
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,86.43.126.13
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,202.155.217.50
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,27.17.51.66
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,166.252.137.73
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,171.221.250.155
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,182.70.255.107
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,189.114.136.231
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,124.246.115.71
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,210.176.36.43
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,190.52.34.174
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,76.24.252.53
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,210.177.249.193
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.160.113.204
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,118.182.32.15
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,118.122.94.212
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,223.65.207.66
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,117.159.174.226
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.53.66.90
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,110.25.99.27
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,12.29.205.28
